customer_code,customer_name,Sales person,sales_person,Customer Map,Active?,market_group,region,sub_region,company_group,door_type,sheet_name,workbook_name,workbook_type,Region,Country,2025 Cluster,channel,2026 Cluster,budget_version
-26,New doors 2026,Melissa,Melissa,,,USA,Other,Other,Company 1,new_2026,Other,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,Other,,NKD26,,,2026.01.22
25060,Nashville Hospitality/DBA Westin,Lisa,Lisa,,Yes,,,,,,2025,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,Southeast,,,,,2026.01.22
25061,Equinox Holdings Inc; Washington DC,Emily,Emily,,Yes,,,,,,2025,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,Northeast,,,,,2026.01.22
25062,Equinox Holdings Inc; SPA Retail Washington DC,Emily,Emily,,Yes,,,,,,2025,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,Northeast,,,,,2026.01.22
25063,Equinox Holdings Inc; Miami,Lisa,Lisa,,Yes,,,,,,2025,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,Southeast,,,,,2026.01.22
25064,Embracing the Dance of Healing,Amy,Amy,,Yes,,,,,,2025,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,West,,,,,2026.01.22
25065,"Cupid Lift Inc., West Hollywood",Amy,Amy,,Yes,,,,,,2025,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,West,,,,,2026.01.22
25066,ARIA Resort & Casino; Las Vegas,Amy,Amy,,Yes,,,,,,2025,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,West,,,,,2026.01.22
25067,"The Ritz-Carlton, Half Moon Bay LLC",Amy,Amy,,Yes,,,,,,2025,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,West,,,,,2026.01.22
25068,321 Skin Glow LLC,Emily,Emily,,Yes,,,,,,2025,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,Central,,,,,2026.01.22
