customer_code,customer_name,customer_region,sales_person,new_door_year,is_active,cluster_2025,cluster_2026,growth_class,actual_2025,budget_2026_total,source_sheet,source_file_name,extract_type
25001,Four Seasons Hotel Philadelphia; PA,Northeast,Marcus,2021,,A,A+,Grow,26036.49,30000.0,Northeast,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_customer_snapshot
25037,Equinox Holdings Inc; Boston,Northeast,Marcus,2023,,B,C,Maintain,5249.319999999999,6000.0,Northeast,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_customer_snapshot
25045,dba Haven Spa,Northeast,Marcus,2024,,NKD24,C,Maintain,5838.02,6000.0,Northeast,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_customer_snapshot
25049,Four Seasons Baltimore; MD,Northeast,Marcus,2024,,NKD24,A+,Grow,14251.070000000002,20000.0,Northeast,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_customer_snapshot
25061,Equinox Holdings Inc; Washington DC,Northeast,Marcus,2025,,NKD25,C,Maintain,6871.790000000001,7000.0,Northeast,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_customer_snapshot
25062,Equinox Holdings Inc; SPA Retail Washington DC,Northeast,Marcus,2025,,NKD25,C,Maintain,3844.76,5000.0,Northeast,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_customer_snapshot
25070,Renaissance Hotel Partners LLC,Northeast,Marcus,2025,,NKD25,A++,Grow,19760.0,25000.0,Northeast,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_customer_snapshot
25039,Four Seasons Hotel Austin; DTRS Austin LLC,Central,Emily,2024,,NKD24,Lost,Lose,2153.52,,Central,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_customer_snapshot
25044,The Elms Hotel and Spa; Missouri,Central,Emily,2024,,NKD24,A,Grow,26752.850000000002,28000.0,Central,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_customer_snapshot
25050,"Mokara Hotel & Spa, Omni Hotels Management Corp.",Central,Emily,2024,,NKD24,A+,Grow,7207.32,12000.0,Central,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_customer_snapshot
25054,Four Seasons Hotel Nashville; TN,Southeast,Emily,2024,,NKD24,A+,Grow,26549.660000000003,30000.0,Central,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_customer_snapshot
25056,AMI LLC Bergamos Retreat,Central,Emily,2024,,NKD24,A+++,Grow,35149.62,50000.0,Central,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_customer_snapshot
25068,321 Skin Glow LLC,Central,Emily,2025,,NKD25,B,Grow,9538.0,12000.0,Central,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_customer_snapshot
25071,Nerdium LLC; Texas,Central,Emily,2025,,NKD25,B,Grow,5488.99,10000.0,Central,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_customer_snapshot
25073,Mario Tricoci Hair Salons & Day Spas,Central,Emily,2025,,NKD25,A,Grow,8904.0,20000.0,Central,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_customer_snapshot
25074,"Houstonian Campus, LLC",Central,Emily,2025,,NKD25,A++,Grow,6178.28,12000.0,Central,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_customer_snapshot
25060,Nashville Hospitality/DBA Westin,Southeast,Emily,2025,,NKD25,B,Grow,10814.48,12000.0,Central,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_customer_snapshot
25012,"Rosewood Sense Spa, CA",West,Erin,2022,,A+,Lost,Lose,52636.33000000001,,West,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_customer_snapshot
